ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{c7695c88-95b3-446b-8acd-afef79665512}\" DisplayName=\"sourceTerm\" Name=\"field_1\" StaticName=\"field_1\" Type=\"Text\" />","<Field ID=\"{9b6f3e7a-53f7-4ca2-b5ce-5236561849fe}\" DisplayName=\"preferredTerm\" Name=\"field_2\" StaticName=\"field_2\" Type=\"Note\" />","<Field ID=\"{8761f7d0-01fa-45f5-b818-d62940dea9ba}\" DisplayName=\"acronym\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Text\" />","<Field ID=\"{faa5e1bf-4df3-45b3-b1af-66b07665094e}\" DisplayName=\"firstUseExpand\" Name=\"field_4\" StaticName=\"field_4\" Type=\"Text\" />","<Field ID=\"{14cac9f0-220a-4c50-971a-169e127d530c}\" DisplayName=\"matchStrategy\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" />","<Field ID=\"{74fbf0d9-0693-4a72-93e7-f556e2e19be8}\" DisplayName=\"terminologyToAvoid\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" />","<Field ID=\"{4a1bd687-0aa7-4224-aaba-758eafb138db}\" DisplayName=\"sourceReference\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" />","<Field ID=\"{eb01a8ee-0285-4bf2-8f35-5e0b8eadc37d}\" DisplayName=\"isActive\" Name=\"field_8\" StaticName=\"field_8\" Type=\"Text\" />","<Field ID=\"{de681fcf-e3a6-4d81-93aa-dcfc31c25d98}\" DisplayName=\"version\" Name=\"field_9\" StaticName=\"field_9\" Type=\"Text\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"domain\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"domain","sourceTerm","preferredTerm","acronym","firstUseExpand","matchStrategy","terminologyToAvoid","sourceReference","isActive","version"
"Cardiovascular & Kidney Disease","HFpEF","Heart failure with preserved ejection fraction; Abbreviate to HFpEF (define in footnotes/on first mention; note lower case ‘p’); HFpEF is a syndrome; The obesity phenotype of HFpEF is associated with a distinct clinical profile and haemodynamic features",,"TRUE","whole_word","HFPEF; HFpEF is a disease; Obese phenotype of HFpEF","Borlaug et al, 2023; Kosiborod et al, 2023a","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Risk factors","The term ‘cardiometabolic’ can be used to encompass risk factors that are typically classed as either metabolic (e.g. diabetes) or cardiovascular (e.g. systolic blood pressure); Inflammation is involved in the development and progression of atherosclerosis and increases the risk of ASCVD events; Atrial fibrillation can accelerate atherosclerosis and increase cardiovascular risk; Obesity is a key driver of HFpEF",,"FALSE","whole_word","Obesity is a comorbidity of HFpEF","Abolbashari, 2022; Kosiborod et al, 2023a; Rohm et al, 2022","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Residual CV risk","Patients with established CVD remain at increased risk of cardiovascular events, despite risk factor management",,"FALSE","whole_word",,"Dhindsa et al, 2020","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Obesity paradox","The obesity paradox refers to the apparent improved prognosis in people with overweight or obesity and established CVD compared with people of a healthy weight",,"FALSE","whole_word",,"Tutor et al, 2023","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Person living with ASCVD/HFpEF","Patient/person with ASCVD/HFpEF; Patient/person living with ASCVD/HFpEF; Always use people-first language",,"FALSE","whole_word","ASCVD/HFpEF patient",,"TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Disease management of ASCVD","Diuretics; Sodium-glucose cotransporter-2 inhibitors (SGLT2is); Angiotensin-converting-enzyme inhibitors (ACEI); Angiotensin receptor blockers (ARBs); Angiotensin receptor–neprilysin inhibitors (ARNis); Beta blockers; Mineralocorticoid receptor antagonists (MRAs); Treatment for aetiology (cardiovascular and non‑cardiovascular comorbidities)",,"FALSE","whole_word",,"Arnett et al, 2019; Visseren et al, 2021","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Disease management of HFpEF","There are currently no pharmacotherapies that specifically target the obesity phenotype of HFpEF (note: specify obesity); ARBs; ARNis; MRAs; Diuretics; SGLT2is",,"FALSE","whole_word","Do not state that there are currently no pharmacotherapies approved for the treatment of HFpEF","Borlaug et al, 2023; Heidenreich et al, 2022; Kosiborod et al, 2023a","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Chronic kidney disease","Chronic kidney disease is defined as abnormalities of kidney structure or function, present for >3 months, with implications for health; Abbreviate to CKD (define in footnotes/on first mention); Classified based on cause, glomerular filtration rate (GFR) category (G1–G5) and albuminuria category (A1–A3), abbreviated as CGA",,"TRUE","whole_word",,"KDIGO 2013a; KDIGO, 2022","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Diabetic kidney disease","Diabetic kidney disease is CKD occurring in patients with diabetes and that can be attributed to their diabetes, unless other causes are readily evident; Abbreviate to DKD (define in footnotes/on first mention)",,"TRUE","whole_word","Diabetic nephropathy","Fu et al, 2019; KDIGO, 2022","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Obesity-related chronic kidney disease","Obesity-related chronic kidney disease is CKD in people with overweight or obesity and without diabetes",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Disease staging","Staging should use both estimated glomerular filtration rate (eGFR) and urinary albumin:creatinine ratio (UACR); eGFR categories: G1 ≥90, G2 60–89, G3a 45–59, G3b 30–44, G4 15–29, G5 <15 mL/min/1.73 m2; UACR categories: A1 <30 mg/g, A2 30–300 mg/g, A3 >300 mg/g",,"FALSE","whole_word",,"KDIGO 2013a; KDIGO, 2022","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Person living with CKD","Patient/person with CKD; Patient/person living with CKD; Always use people-first language",,"FALSE","whole_word","CKD patient/person",,"TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Disease management in CKD","Management of cardiometabolic risk factors can delay CKD progression; The term ‘cardiometabolic’ can be used to encompass cardiovascular and metabolic complications/risk factors",,"FALSE","whole_word",,"KDIGO, 2013b","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Disease management in DKD","First-line glucose-lowering therapies in DKD: Metformin; SGLT2is; GLP-1 receptor agonists (GLP-1RAs) are preferred if additional glycaemic control is required or if patients cannot use first‑line options",,"FALSE","whole_word",,"KDIGO, 2022","TRUE","7.0 (Jan 2024)"
"Cardiovascular & Kidney Disease","Association between CKD and CVD","Patients with CKD are at an increased risk of developing CVD, including ASCVD and HF; CKD pathophysiology can drive development of CVD through shared risk factors, vascular changes and haemodynamic changes",,"FALSE","whole_word",,"Jankowski et al, 2021","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Product class","Semaglutide; When referring to the product in a specific indication, the dose and formulation should be included (helps differentiate use in different indications)",,"FALSE","whole_word","Any abbreviation; OG217SC; Brand names (Ozempic®, Rybelsus®, Wegovy™) should generally be avoided in publications",,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Semaglutide product type","Glucagon-like peptide-1 analogue",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Semaglutide product type","Human glucagon-like peptide-1 analogue",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Semaglutide product type","GLP-1 analogue",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Product name (class reference)","GLP-1 receptor agonists or GLP-1-based therapies (when referring to the class as a whole); Can abbreviate to GLP-1RA",,"FALSE","whole_word","Do not use ‘mimetics’; Do not use ‘GLP-1 RA’ (with a space)",,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Semaglutide structure","Structurally similar to liraglutide",,"FALSE","whole_word",,"Lau et al, 2015; s.c. and oral semaglutide IBs","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Semaglutide nature","Protein-based drug",,"FALSE","whole_word",,"‘Oral sema brief’ presentation deck","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Homology to human GLP-1","Semaglutide has 94% homology to human GLP-1; Contains three minor but important modifications that make it suitable for clinical use",,"FALSE","whole_word","Avoid suggestion of complete homology","Lau et al, 2015; Semaglutide IB","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Semaglutide molecule modifications","Structural modifications include: amino acid substitutions at position 8 (alanine→α-aminoisobutyric acid) and position 34 (lysine→arginine), and acylation of the lysine in position 26 with a spacer of two 8-amino-3,6-dioxaoctanoic acid (ADO) moieties, a glutamic acid moiety, and a C-18 fatty di‑acid side chain; The substitution at position 8 renders semaglutide less susceptible to degradation by DPP-4; The lysine acylation improves binding to albumin, believed to reduce renal clearance",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Overall mechanism of action of semaglutide/GLP-1RAs","Exerts actions through the GLP-1 receptor via pathways and cellular actions similar to those of native GLP-1; Consistent with other long-acting GLP-1RAs",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Potency","Semaglutide is a potent, long-acting GLP-1 analogue; A potent agonist of the human GLP-1 receptor",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Duration of action","Long-acting",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Half-life","Median tmax 1–3 days and elimination half-life (t½) ≈1 week; With oral semaglutide at steady state, single deviations from recommended dosing have minimal impact on exposure",,"FALSE","whole_word",,"Semaglutide IB","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Diabetes/hyperglycaemia mechanism of action","[GLP-1RAs] increase insulin and suppress glucagon in a glucose‑dependent manner; Improve post‑prandial glucose and lipid metabolism, and delay gastric emptying; Multifactorial effects on pathological defects of T2D and microvascular outcomes including CVD, CKD, stroke and PAD",,"FALSE","whole_word",,"Brunton & Wysham, 2020; Dahl et al, 2021; Hjerpsted et al, 2017; Lyseng-Williamson, 2019","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Weight loss mechanism of action (general)","Weight loss with GLP‑1RAs is associated with reduced appetite and energy intake; Mediated by reduced appetite and energy intake rather than increased energy expenditure; GI AEs have no relevant impact on weight loss; Contribution of nausea/vomiting is minor",,"FALSE","whole_word",,"Ahren et al, 2018; Blundell et al, 2017; Gibbons et al, 2021; Meier et al, 2021","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Weight loss mechanism of action (neurocircuitry)","Semaglutide increases feelings of satiety and fullness, improves control of eating, reduces hunger and cravings, and reduces energy intake by ~35% vs placebo; Semaglutide directly and indirectly activates brain regions in the hypothalamus and hindbrain involved in appetite regulation",,"FALSE","whole_word",,"Blundell et al, 2017; Gabery et al, 2020; Friedrichsen et al, 2021","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Blood pressure","The mechanism of blood pressure-lowering with GLP-1RAs may involve increased urine production, urinary sodium excretion and vasodilation; Weight loss lowers blood pressure and may contribute; Avoid inferring direct effects on blood pressure",,"FALSE","whole_word","Avoid inferring direct effects of GLP‑1RAs or semaglutide on blood pressure","Wing et al, 2011","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","MASH mechanism of action","[GLP‑1RAs] improve liver enzymes and reduce liver fat; Given lack of hepatic GLP‑1 receptor expression, potential mechanism in MASH may relate to indirect effects on weight and insulin resistance and reductions in metabolic dysfunction, lipotoxic effects and inflammation",,"FALSE","whole_word","Use ‘MASH’ (not NASH); Avoid stating improvement is related to weight loss only","Newsome et al, 2021","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Inflammation (MASH)","Semaglutide reduces ALT and markers of inflammation; Associated with reductions in biomarkers of inflammation and histologically assessed lobular inflammation in MASH; Preclinical studies suggest reductions in liver inflammation partly independent of weight loss",,"FALSE","whole_word",,"Newsome et al, 2019","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Mechanism of CV benefit","Mechanisms not fully elucidated; Consistent effects on cardiometabolic risk factors may mediate CV benefit; Preclinical evidence suggests improvements in cardiac function, attenuation of atherothrombosis, effects on inflammatory pathways, endothelial function; Reductions in HbA1c, body weight, and systolic blood pressure may contribute",,"FALSE","whole_word","Avoid elaborating on hsCRP/inflammation mechanism beyond evidence","Bain et al, 2019; Husain et al, 2020a,b; Khat & Husain, 2018; Kosiborod et al, 2022; Rakipovski et al, 2018","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Mechanism of benefit in obesity phenotype of HFpEF","Potential mechanisms include weight loss with reductions in filling pressures; Vascular protection; Reductions in plasma volume and stressed blood volume; Reductions in visceral, pericardial and intramuscular adipose tissue; Reduced intracardiac and pulmonary pressures; Reduced inflammation; Improved insulin sensitivity, metabolic efficiency, myocardial structure and energetics; Improved microvascular function",,"FALSE","whole_word",,"Kosiborod et al, 2023a","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Multifactorial benefit (CV/CKD risk factors)","GLP-1RAs may exert beneficial effects on traditional risk factors for CVD and CKD: decrease blood glucose, blood pressure, LDL cholesterol, insulin levels; promote weight loss; reduce albuminuria; Secondary/exploratory kidney outcomes from GLP‑1RA CVOTs suggest potential kidney protective effect",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Mechanism of kidney benefit","Data suggest direct and indirect kidney benefits; Improvements in glycaemic control; Reductions in blood pressure, body weight and albuminuria; Possible mechanisms: endothelial function or glycocalyx effects; Increased natriuresis via sodium–hydrogen transporter inhibition or anti‑inflammatory/antifibrotic effects; RAAS inhibition; Haemodynamic effects; FLOW stopped early (Oct 2023) due to efficacy at interim analysis",,"FALSE","whole_word",,"Heerspink et al, 2023; Muskiet et al, 2017","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Inflammation (AD)","Neuroinflammation is a central mechanism in AD pathophysiology; GLP-1RAs attenuate markers of neuroinflammation in rodents; GLP‑1RAs have anti‑inflammatory effects in clinical trials",,"FALSE","whole_word",,"Secher et al, 2021; Aroda et al, 2019; Rodbard et al, 2019","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Neurodegeneration (AD)","GLP-1RAs may reduce decline in cerebral glucose metabolism and reduce NfL levels (surrogate markers of neurodegeneration) in patients with T2D and CVD with high baseline NfL",,"FALSE","whole_word",,"Gejl et al, 2016; Wilson et al, 2021","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Cognitive function (AD)","GLP-1RAs reduced cognitive decline in patients with T2D",,"FALSE","whole_word",,"Cukierman-Yaffe et al, 2020; Li et al, 2021","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Memory function (AD)","GLP-1RAs showed short‑term memory improvements in patients with T2D; Improved memory function in rodents",,"FALSE","whole_word",,"Vadini et al, 2020; Hansen et al, 2015","TRUE","7.0 (Jan 2024)"
"Semaglutide Molecule","Dementia (AD risk)","GLP‑1RAs reduced risk of all‑cause dementia in patients with T2D; Reduced risk of all‑cause dementia and dementia due to AD in four real‑world evidence studies",,"FALSE","whole_word",,"Ballard et al, 2020; Nørgaard et al, 2022; Wium‑Andersen et al, 2019; Akimoto et al, 2020","TRUE","7.0 (Jan 2024)"
"Publication Style","Titles – Abbreviations","Include trial name in parentheses, e.g., “Efficacy and safety of oral semaglutide versus placebo in subjects with type 2 diabetes treated with diet and exercise only (PIONEER 1)”",,"FALSE","whole_word","No abbreviations in titles (except trial names)",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Randomisation","Randomised to",,"FALSE","whole_word","Randomised to receive",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Phase","phase 3 (lower‑case description and Arabic number)",,"FALSE","whole_word","Do not capitalise or use Roman numerals, e.g., Phase III",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Reporting dose, administration and frequency","Oral semaglutide DOSE (e.g. oral semaglutide 3 mg once daily)",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Reporting dose, administration and frequency","s.c. semaglutide DOSE once weekly",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Reporting dose, administration and frequency","Once daily and once weekly may be abbreviated to OD or OW if character count is restrictive",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Inclusion/exclusion criteria","Only report clinically relevant key exclusion criteria in text as per protocol; include full criteria in supplementary information if applicable",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Order of endpoint presentation","List endpoints in the agreed order used in the results section",,"FALSE","whole_word","Do not use the protocol order if different from results",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Subscripts","tmax, Cmax, t½, HbA1c",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Time points","Lower‑case descriptions, e.g., “week 1”, “day 3”",,"FALSE","whole_word","Do not capitalise (e.g., Week 1, Day 3)",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Versus","vs",,"FALSE","whole_word","vs.",,"TRUE","7.0 (Jan 2024)"
"Publication Style","P value","p value",,"FALSE","whole_word","P value; P-value; p-value; Do not italicise",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Post‑hoc analyses","Post‑hoc analyses",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Post‑hoc analyses","Analyses were performed post hoc",,"FALSE","whole_word","Post hoc (non‑italicised)",,"TRUE","7.0 (Jan 2024)"
"Publication Style","Acknowledgements (primary/secondary manuscripts)","Include all contributors that are not authors (e.g., data monitoring committee); acknowledge patients, investigators, trial site staff and Novo Nordisk A/S employees involved in the trial",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Acknowledgement of medical writing support","Mention the medical writer(s) and employer by name; e.g., “We also thank Joe Bloggs, Ph.D., of [Agency], for medical writing and editorial assistance, funded by Novo Nordisk, in accordance with Good Publication Practice (GPP) guidelines (www.ismpp.org/gpp-2022)”",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Acknowledgement of medical accuracy review","Review articles should acknowledge that Novo Nordisk performed a medical accuracy review where relevant; e.g., “Novo Nordisk was also provided with the opportunity to perform a medical accuracy review”",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
"Publication Style","Data sharing statement","Data will be shared with bona fide researchers submitting a research proposal approved by the independent review board… Access request proposals at novonordisk-trials.com; Data available after research completion and regulatory approval; Individual participant data shared in de‑identified/anonymised format",,"FALSE","whole_word",,,"TRUE","7.0 (Jan 2024)"
